id,sport,game,betOn,betType,pick,line,ou,prob,ev,evGrade,confidence,ml,grade,outcome,settledAt,hScore,aScore,note,date
2026-07-23_STL_ARI_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,loss,2026-07-24T04:05:32.962000+00:00,,,,2026-07-23
2026-07-23_DET_KC_ML_DET,MLB,,DET,ML,,,,,,,,-202,,win,2026-07-24T04:05:32.970000+00:00,,,,2026-07-23
2026-07-23_DET_KC_SPREAD_KC+1.5,MLB,,KC +1.5,SPREAD,,,,,,,,-115,,win,2026-07-24T04:10:53.574000+00:00,,,,2026-07-23
2026-07-23_TOR_TB_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-23T22:33:59.499000+00:00,,,,2026-07-23
2026-07-23_CLE_MIN_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-23T22:33:52.723000+00:00,,,,2026-07-23
2026-07-23_ATL_SD_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,win,2026-07-23T22:33:44.141000+00:00,,,,2026-07-23
2026-07-23_TOR_TB_ML_TOR,MLB,,TOR,ML,,,,,,,,-105,,win,2026-07-23T22:33:57.240000+00:00,,,,2026-07-23
2026-07-23_ATL_SD_ML_ATL,MLB,,ATL,ML,,,,,,,,-129,,win,2026-07-23T22:33:39.814000+00:00,,,,2026-07-23
2026-07-23_DET_KC_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-24T04:05:32.967000+00:00,,,,2026-07-23
2026-07-23_CLE_MIN_SPREAD_MIN+1.5,MLB,,MIN +1.5,SPREAD,,,,,,,,-115,,win,2026-07-23T22:33:47.675000+00:00,,,,2026-07-23
2026-07-23_STL_ARI_ML_STL,MLB,,STL,ML,,,,,,,,-210,,loss,2026-07-24T04:05:32.957000+00:00,,,,2026-07-23
2026-07-21_SEA_CIN_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:56.037000+00:00,,,,2026-07-21
2026-07-21_PHI_LAD_SPREAD_PHI+1.5,MLB,,PHI +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:23:35.954000+00:00,,,,2026-07-21
2026-07-21_LAA_STL_ML_LAA,MLB,,LAA,ML,,,,,,,,-136,,win,2026-07-22T05:11:56.027000+00:00,,,,2026-07-21
2026-07-21_KC_SF_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:56+00:00,,,,2026-07-21
2026-07-21_HOU_MIA_ML_HOU,MLB,,HOU,ML,,,,,,,,-128,,win,2026-07-22T05:11:56.017000+00:00,,,,2026-07-21
2026-07-21_CHC_DET_OU_OVER9.5,MLB,,OVER 9.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:56.013000+00:00,,,,2026-07-21
2026-07-21_SEA_CIN_ML_SEA,MLB,,SEA,ML,,,,,,,,-168,,loss,2026-07-22T05:11:56.034000+00:00,,,,2026-07-21
2026-07-21_SEA_CIN_SPREAD_CIN+1.5,MLB,,CIN +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:21:34.367000+00:00,,,,2026-07-21
2026-07-21_COL_WSN_OU_OVER10.5,MLB,,OVER 10.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:56.023000+00:00,,,,2026-07-21
2026-07-21_COL_WSN_ML_COL,MLB,,COL,ML,,,,,,,,132,,win,2026-07-22T05:11:56.021000+00:00,,,,2026-07-21
2026-07-21_CHC_DET_SPREAD_DET+1.5,MLB,,DET +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-22T05:22:39.939000+00:00,,,,2026-07-21
2026-07-21_TEX_CWS_SPREAD_CWS+1.5,MLB,,CWS +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-22T05:22:57.109000+00:00,,,,2026-07-21
2026-07-21_LAA_STL_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:56.029000+00:00,,,,2026-07-21
2026-07-21_KC_SF_SPREAD_SF+1.5,MLB,,SF +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:24:42.508000+00:00,,,,2026-07-21
2026-07-21_MIL_NYM_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-22T05:24:21.780000+00:00,,,,2026-07-21
2026-07-21_COL_WSN_SPREAD_WSN+1.5,MLB,,WSN +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:22:16.863000+00:00,,,,2026-07-21
2026-07-21_CHC_DET_ML_CHC,MLB,,CHC,ML,,,,,,,,-144,,win,2026-07-22T05:11:56.009000+00:00,,,,2026-07-21
2026-07-21_ATL_SD_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,win,2026-07-22T05:11:55.993000+00:00,,,,2026-07-21
2026-07-21_TEX_CWS_ML_TEX,MLB,,TEX,ML,,,,,,,,-138,,win,2026-07-22T05:11:56.005000+00:00,,,,2026-07-21
2026-07-21_ATL_SD_ML_ATL,MLB,,ATL,ML,,,,,,,,-129,,loss,2026-07-22T05:11:55.990000+00:00,,,,2026-07-21
2026-07-21_KC_SF_ML_KC,MLB,,KC,ML,,,,,,,,-118,,win,2026-07-22T05:11:55.998000+00:00,,,,2026-07-21
2026-07-21_MIL_NYM_SPREAD_NYM+1.5,MLB,,NYM +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:24:15.252000+00:00,,,,2026-07-21
2026-07-21_CLE_MIN_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-22T05:02:35.001000+00:00,,,,2026-07-21
2026-07-21_CLE_MIN_ML_CLE,MLB,,CLE,ML,,,,,,,,-110,,win,2026-07-22T05:02:34.999000+00:00,,,,2026-07-21
2026-07-21_PHI_LAD_OU_UNDER7.5,MLB,,UNDER 7.5,OU,,,,,,,,-110,,win,2026-07-22T05:02:34.996000+00:00,,,,2026-07-21
2026-07-21_TOR_TB_SPREAD_TB+1.5,MLB,,TB +1.5,SPREAD,,,,,,,,-115,,win,2026-07-22T05:23:46.464000+00:00,,,,2026-07-21
2026-07-21_PHI_LAD_ML_LAD,MLB,,LAD,ML,,,,,,,,115,,win,2026-07-22T05:02:34.993000+00:00,,,,2026-07-21
2026-07-20_KC_SF_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.904000+00:00,,,,2026-07-20
2026-07-20_KC_SF_ML_KC,MLB,,KC,ML,,,,,,,,-118,,win,2026-07-21T05:05:22.902000+00:00,,,,2026-07-20
2026-07-20_MIL_NYM_ML_MIL,MLB,,MIL,ML,,,,,,,,-105,,win,2026-07-21T05:05:22.897000+00:00,,,,2026-07-20
2026-07-20_SEA_MIN_SPREAD_MIN-1.6,WNBA,,MIN -1.6,SPREAD,,,,,,,,-115,,win,2026-07-21T05:20:53.534000+00:00,,,,2026-07-20
2026-07-20_CLE_MIN_ML_CLE,MLB,,CLE,ML,,,,,,,,-110,,win,2026-07-21T05:00:22.308000+00:00,,,,2026-07-20
2026-07-20_TOR_TB_SPREAD_TB+1.5,MLB,,TB +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:17:54.616000+00:00,,,,2026-07-20
2026-07-20_NYY_PIT_OU_OVER8.5,MLB,,OVER 8.5,OU,,,,,,,,-110,,win,2026-07-21T05:00:22.319000+00:00,,,,2026-07-20
2026-07-20_NYY_PIT_ML_NYY,MLB,,NYY,ML,,,,,,,,-139,,win,2026-07-21T05:00:22.316000+00:00,,,,2026-07-20
2026-07-20_PHI_LAD_OU_OVER7.5,MLB,,OVER 7.5,OU,,,,,,,,-110,,win,2026-07-21T05:00:22.313000+00:00,,,,2026-07-20
2026-07-20_GS_WSH_OU_OVER146.5,WNBA,,OVER 146.5,OU,,,,,,,,-110,,win,2026-07-21T05:20:22.700000+00:00,,,,2026-07-20
2026-07-20_PHI_LAD_SPREAD_PHI+1.5,MLB,,PHI +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:18:20.935000+00:00,,,,2026-07-20
2026-07-20_SEA_MIN_OU_OVER174.5,WNBA,,OVER 174.5,OU,,,,,,,,-110,,win,2026-07-21T05:21:13.309000+00:00,,,,2026-07-20
2026-07-20_MIN_SEA_WNBA_MINML,WNBA,,MIN ML,ML,,,,,,,,-123,,win,2026-07-21T05:20:44.688000+00:00,,,,2026-07-20
2026-07-20_GS_WSH_SPREAD_WSH+1.5,WNBA,,WSH +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:19:28.764000+00:00,,,,2026-07-20
2026-07-20_DAL_NY_OU_OVER174.5,WNBA,,OVER 174.5,OU,,,,,,,,-110,,win,2026-07-21T05:19:16.777000+00:00,,,,2026-07-20
2026-07-20_DAL_NY_SPREAD_DAL+3.5,WNBA,,DAL +3.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:19:10.376000+00:00,,,,2026-07-20
2026-07-20_NY_DAL_WNBA_NYML,WNBA,,NY ML,ML,,,,,,,,-107,,win,2026-07-21T05:19:23.329000+00:00,,,,2026-07-20
2026-07-20_TOR_LV_OU_OVER182.5,WNBA,,OVER 182.5,OU,,,,,,,,-110,,win,2026-07-21T05:18:51.279000+00:00,,,,2026-07-20
2026-07-20_ATL_SD_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.892000+00:00,,,,2026-07-20
2026-07-20_BOS_BAL_ML_BOS,MLB,,BOS,ML,,,,,,,,-150,,win,2026-07-21T05:00:22.326000+00:00,,,,2026-07-20
2026-07-20_TOR_TB_OU_OVER8.5,MLB,,OVER 8.5,OU,,,,,,,,-110,,loss,2026-07-21T05:00:22.322000+00:00,,,,2026-07-20
2026-07-20_LAA_STL_ML_LAA,MLB,,LAA,ML,,,,,,,,-136,,win,2026-07-21T05:05:22.941000+00:00,,,,2026-07-20
2026-07-20_LAA_STL_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.943000+00:00,,,,2026-07-20
2026-07-20_HOU_MIA_OU_OVER8.5,MLB,,OVER 8.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.923000+00:00,,,,2026-07-20
2026-07-20_LAA_STL_SPREAD_STL+1.5,MLB,,STL +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:16:18.026000+00:00,,,,2026-07-20
2026-07-20_SEA_CIN_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.937000+00:00,,,,2026-07-20
2026-07-20_COL_WSN_OU_OVER10.5,MLB,,OVER 10.5,OU,,,,,,,,-110,,loss,2026-07-21T05:05:22.929000+00:00,,,,2026-07-20
2026-07-20_TOR_LV_SPREAD_TOR+1.5,WNBA,,TOR +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-21T05:18:39.525000+00:00,,,,2026-07-20
2026-07-20_CHC_DET_OU_OVER9.5,MLB,,OVER 9.5,OU,,,,,,,,-110,,win,2026-07-21T05:05:22.916000+00:00,,,,2026-07-20
2026-07-20_TEX_CWS_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-07-21T05:05:22.912000+00:00,,,,2026-07-20
2026-07-20_CHC_DET_SPREAD_DET+1.5,MLB,,DET +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:16:46.941000+00:00,,,,2026-07-20
2026-07-20_HOU_MIA_ML_HOU,MLB,,HOU,ML,,,,,,,,-128,,win,2026-07-21T05:05:22.920000+00:00,,,,2026-07-20
2026-07-20_SEA_CIN_ML_SEA,MLB,,SEA,ML,,,,,,,,-168,,win,2026-07-21T05:05:22.935000+00:00,,,,2026-07-20
2026-07-20_TEX_CWS_SPREAD_CWS+1.5,MLB,,CWS +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:16:52.774000+00:00,,,,2026-07-20
2026-07-20_COL_WSN_SPREAD_WSN-1.5,MLB,,WSN -1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:16:39.199000+00:00,,,,2026-07-20
2026-07-20_COL_WSN_ML_WSN,MLB,,WSN,ML,,,,,,,,-159,,win,2026-07-21T05:05:22.927000+00:00,,,,2026-07-20
2026-07-20_BOS_BAL_OU_OVER9.5,MLB,,OVER 9.5,OU,,,,,,,,-110,,win,2026-07-21T05:00:22.329000+00:00,,,,2026-07-20
2026-07-20_BOS_BAL_SPREAD_BAL+1.5,MLB,,BAL +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:17:47.513000+00:00,,,,2026-07-20
2026-07-20_KC_SF_SPREAD_SF+1.5,MLB,,SF +1.5,SPREAD,,,,,,,,-115,,win,2026-07-21T05:17:14.190000+00:00,,,,2026-07-20
2026-07-19_ESP_ARG_SOC_Spain,SOC,,Spain,ML,,,,,,,,+167,,win,2026-07-20T07:07:22.050000+00:00,,,,2026-07-19
2026-07-19_KC_SD_SPREAD_SD+1.5,MLB,,SD +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:51.069000+00:00,,,,2026-07-19
2026-07-19_ATL_TEX_SPREAD_ATL-1.5,MLB,,ATL -1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:17.959000+00:00,,,,2026-07-19
2026-07-19_BOS_TB_ML_BOS,MLB,,BOS,ML,,,,,,,,-150,,win,2026-07-19T23:35:06.074000+00:00,,,,2026-07-19
2026-07-19_NYY_LAD_ML_NYY,MLB,,NYY,ML,,,,,,,,-144,,loss,2026-07-19T23:35:43.121000+00:00,,,,2026-07-19
2026-07-19_COL_CIN_ML_COL,MLB,,COL,ML,,,,,,,,-168,,loss,2026-07-19T23:35:43.144000+00:00,,,,2026-07-19
2026-07-19_CHC_MIN_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,win,2026-07-19T23:35:06.121000+00:00,,,,2026-07-19
2026-07-19_CHC_MIN_ML_CHC,MLB,,CHC,ML,,,,,,,,-129,,win,2026-07-19T23:35:06.117000+00:00,,,,2026-07-19
2026-07-19_MIL_MIA_ML_MIL,MLB,,MIL,ML,,,,,,,,-168,,win,2026-07-19T23:35:06.108000+00:00,,,,2026-07-19
2026-07-19_KC_SD_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,loss,2026-07-19T23:35:06.113000+00:00,,,,2026-07-19
2026-07-19_HOU_BAL_SPREAD_BAL+1.5,MLB,,BAL +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:28.622000+00:00,,,,2026-07-19
2026-07-19_CLE_PIT_SPREAD_PIT+1.5,MLB,,PIT +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:22.155000+00:00,,,,2026-07-19
2026-07-19_BOS_TB_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,win,2026-07-19T23:35:06.077000+00:00,,,,2026-07-19
2026-07-19_BOS_TB_SPREAD_TB+1.5,MLB,,TB +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-20T07:06:10.227000+00:00,,,,2026-07-19
2026-07-19_MIL_MIA_SPREAD_MIA+1.5,MLB,,MIA +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:44.203000+00:00,,,,2026-07-19
2026-07-19_PHI_NYM_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-19T23:35:06.062000+00:00,,,,2026-07-19
2026-07-19_ATL_TEX_ML_ATL,MLB,,ATL,ML,,,,,,,,-110,,win,2026-07-19T23:35:06.082000+00:00,,,,2026-07-19
2026-07-19_NYY_LAD_SPREAD_LAD+1.5,MLB,,LAD +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:00.611000+00:00,,,,2026-07-19
2026-07-19_PHI_NYM_ML_PHI,MLB,,PHI,ML,,,,,,,,-139,,loss,2026-07-19T23:35:06.069000+00:00,,,,2026-07-19
2026-07-19_NYY_LAD_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-07-19T23:35:43.127000+00:00,,,,2026-07-19
2026-07-19_TOR_CWS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-20T07:05:55.578000+00:00,,,,2026-07-19
2026-07-19_TOR_CWS_SPREAD_CWS+1.5,MLB,,CWS +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:05:50.488000+00:00,,,,2026-07-19
2026-07-19_HOU_BAL_ML_HOU,MLB,,HOU,ML,,,,,,,,-128,,loss,2026-07-19T23:35:06.098000+00:00,,,,2026-07-19
2026-07-19_ESP_ARG_SOC_UNDER2.5,SOC,,UNDER 2.5,ML,,,,,,,,-110,,win,2026-07-20T07:05:26.135000+00:00,,,,2026-07-19
2026-07-19_PHI_NYM_SPREAD_NYM+1.5,MLB,,NYM +1.5,SPREAD,,,,,,,,-115,,win,2026-07-20T07:06:05.281000+00:00,,,,2026-07-19
a9,MLB,,,ML,,,,,,,,,,loss,,,,,2026-07-19
2026-07-18_SEA_SF_OU_OVER6.5,MLB,,OVER 6.5,OU,,,,,,,,-110,,win,2026-07-19T17:36:17.392000+00:00,,,,2026-07-18
2026-07-18_OAK_WSN_SPREAD_WSN+1.5,MLB,,WSN +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-19T17:36:26.774000+00:00,,,,2026-07-18
2026-07-18_FRA_ENG_SOC_OVER2.5,SOC,,OVER 2.5,ML,,,,,,,,-110,,win,2026-07-19T00:16:52.279000+00:00,,,,2026-07-18
2026-07-18_KC_SD_OU_UNDER10.5,MLB,,UNDER 10.5,OU,,,,,,,,-110,,win,2026-07-19T00:21:03.606000+00:00,,,,2026-07-18
2026-07-18_HOU_BAL_SPREAD_BAL+1.5,MLB,,BAL +1.5,SPREAD,,,,,,,,-115,,win,2026-07-19T00:18:14.194000+00:00,,,,2026-07-18
2026-07-18_PHI_NYM_ML_PHI,MLB,,PHI,ML,,,,,,,,-139,,win,2026-07-19T00:12:02.687000+00:00,,,,2026-07-18
2026-07-18_TOR_CWS_SPREAD_TOR+1.5,MLB,,TOR +1.5,SPREAD,,,,,,,,-115,,win,2026-07-19T00:17:33.590000+00:00,,,,2026-07-18
2026-07-18_ATL_TEX_SPREAD_ATL-1.5,MLB,,ATL -1.5,SPREAD,,,,,,,,-115,,loss,2026-07-19T00:18:05.862000+00:00,,,,2026-07-18
2026-07-18_ATL_TEX_OU_OVER8.5,MLB,,OVER 8.5,OU,,,,,,,,-110,,win,2026-07-19T00:18:09.339000+00:00,,,,2026-07-18
2026-07-18_CHC_MIN_ML_CHC,MLB,,CHC,ML,,,,,,,,-129,,win,2026-07-19T00:06:31.335000+00:00,,,,2026-07-18
2026-07-18_BOS_TB_ML_BOS,MLB,,BOS,ML,,,,,,,,-150,,win,2026-07-19T00:17:45.204000+00:00,,,,2026-07-18
2026-07-18_MIL_MIA_ML_MIL,MLB,,MIL,ML,,,,,,,,-168,,win,2026-07-19T00:18:21.476000+00:00,,,,2026-07-18
2026-07-18_TOR_CWS_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-19T00:07:01.419000+00:00,,,,2026-07-18
2026-07-18_BOS_TB_SPREAD_TB+1.5,MLB,,TB +1.5,SPREAD,,,,,,,,-115,,win,2026-07-19T00:17:53.866000+00:00,,,,2026-07-18
2026-07-18_KC_SD_ML_KC,MLB,,KC,ML,,,,,,,,-129,,win,2026-07-19T00:18:26.300000+00:00,,,,2026-07-18
2026-07-18_PHI_NYM_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-19T00:12:02.689000+00:00,,,,2026-07-18
2026-07-18_BOS_TB_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,loss,2026-07-19T00:17:57.410000+00:00,,,,2026-07-18
2026-07-18_COL_CIN_OU_OVER8.5,MLB,,OVER 8.5,OU,,,,,,,,-110,,win,2026-07-19T00:11:31.602000+00:00,,,,2026-07-18
2026-07-18_SEA_SF_SPREAD_SF+1.5,MLB,,SF +1.5,SPREAD,,,,,,,,-115,,win,2026-07-19T17:36:09.330000+00:00,,,,2026-07-18
2026-07-18_COL_CIN_ML_COL,MLB,,COL,ML,,,,,,,,-168,,win,2026-07-19T00:11:31.599000+00:00,,,,2026-07-18
2026-07-18_CLE_PIT_SPREAD_PIT+1.5,MLB,,PIT +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-19T17:36:37.228000+00:00,,,,2026-07-18
2026-07-18_CHC_MIN_OU_UNDER11.5,MLB,,UNDER 11.5,OU,,,,,,,,-110,,win,2026-07-19T00:06:31.347000+00:00,,,,2026-07-18
2026-07-18_CLE_PIT_OU_OVER7.5,MLB,,OVER 7.5,OU,,,,,,,,-110,,win,2026-07-19T00:07:01.415000+00:00,,,,2026-07-18
a8,MLB,,,ML,,,,,,,,,,win,,,,,2026-07-18
2026-07-17_PHX_CON_OU_OVER163.5,WNBA,,OVER 163.5,OU,,,,,,,,-110,,win,2026-07-19T00:17:18.657000+00:00,,,,2026-07-17
2026-07-17_PHX_CON_SPREAD_CON+5.5,WNBA,,CON +5.5,SPREAD,,,,,,,,-115,,win,2026-07-19T00:17:11.362000+00:00,,,,2026-07-17
2026-07-17_IND_SEA_OU_OVER168.5,WNBA,,OVER 168.5,OU,,,,,,,,-110,,win,2026-07-18T01:49:19.180000+00:00,,,,2026-07-17
2026-07-17_CHI_LA_SPREAD_CHI+6.5,WNBA,,CHI +6.5,SPREAD,,,,,,,,-115,,win,2026-07-18T01:50:02.376000+00:00,,,,2026-07-17
2026-07-17_ATL_TOR_WNBA_ATLML,WNBA,,ATL ML,ML,,,,,,,,-260,,win,2026-07-18T01:49:45.974000+00:00,,,,2026-07-17
2026-07-17_IND_SEA_SPREAD_SEA+5.5,WNBA,,SEA +5.5,SPREAD,,,,,,,,-115,,win,2026-07-18T01:49:12.762000+00:00,,,,2026-07-17
2026-07-17_TOR_ATL_OU_OVER165.5,WNBA,,OVER 165.5,OU,,,,,,,,-110,,win,2026-07-18T01:49:40.825000+00:00,,,,2026-07-17
2026-07-17_CHI_LA_OU_OVER165.5,WNBA,,OVER 165.5,OU,,,,,,,,-110,,win,2026-07-18T01:50:08.623000+00:00,,,,2026-07-17
2026-07-17_IND_SEA_WNBA_INDML,WNBA,,IND ML,ML,,,,,,,,-235,,win,2026-07-18T01:49:31.997000+00:00,,,,2026-07-17
a7,MLB,,,ML,,,,,,,,,,win,,,,,2026-07-17
a6,MLB,,,ML,,,,,,,,,,loss,,,,,2026-07-16
2026-07-15_MIN_LA_WNBA_MINML,WNBA,,MIN ML,ML,,,,,,,,206,,win,2026-07-15T20:31:29.529000+00:00,,,,2026-07-15
2026-07-15_MIN_LA_SPREAD_MIN-6.5,WNBA,,MIN -6.5,SPREAD,,,,,,,,-115,,win,2026-07-15T20:31:35.113000+00:00,,,,2026-07-15
2026-07-15_MIN_LA_OU_OVER165.5,WNBA,,OVER 165.5,OU,,,,,,,,-110,,win,2026-07-15T20:31:41.651000+00:00,,,,2026-07-15
2026-07-15_CHI_SEA_OU_OVER168.5,WNBA,,OVER 168.5,OU,,,,,,,,-110,,win,2026-07-15T20:31:22.367000+00:00,,,,2026-07-15
2026-07-15_CHI_SEA_SPREAD_SEA+5.5,WNBA,,SEA +5.5,SPREAD,,,,,,,,-115,,win,2026-07-15T20:30:58.822000+00:00,,,,2026-07-15
2026-07-15_IND_GS_OU_OVER165.5,WNBA,,OVER 165.5,OU,,,,,,,,-110,,loss,2026-07-16T19:39:33.864000+00:00,,,,2026-07-15
2026-07-15_ENG_ARG_SOC_UNDER2.5,SOC,,UNDER 2.5,ML,,,,,,,,-110,,loss,2026-07-15T21:50:12.788000+00:00,,,,2026-07-15
2026-07-15_ENG_ARG_SOC_AHArgentina0.5,SOC,,AH Argentina 0.5,ML,,,,,,,,-110,,win,2026-07-15T21:50:06.747000+00:00,,,,2026-07-15
a5,MLB,,,ML,,,,,,,,,,win,,,,,2026-07-15
2026-07-14_CON_POR_OU_OVER170.8,WNBA,,OVER 170.8,OU,,,,,,,,-110,,win,2026-07-15T02:35:23.788000+00:00,,,,2026-07-14
2026-07-14_CON_POR_SPREAD_CON+8.5,WNBA,,CON +8.5,SPREAD,,,,,,,,-115,,win,2026-07-15T02:35:19.396000+00:00,,,,2026-07-14
2026-07-14_ESP_FRA_SOC_Spain,SOC,,Spain,ML,,,,,,,,+160,,win,2026-07-15T02:34:34.313000+00:00,,,,2026-07-14
2026-07-14_ESP_FRA_SOC_UNDER2.5,SOC,,UNDER 2.5,ML,,,,,,,,-110,,win,2026-07-14T21:03:38.968000+00:00,,,,2026-07-14
b4,NHL,,,OU,,,,,,,,,,win,,,,,2026-07-14
a4,MLB,,,ML,,,,,,,,,,win,,,,,2026-07-14
2026-07-13_ATL_LA_WNBA_ATLML,WNBA,,ATL ML,ML,,,,,,,,206,,win,2026-07-14T05:04:18.357000+00:00,,,,2026-07-13
2026-07-13_MIN_PHX_OU_OVER169.5,WNBA,,OVER 169.5,OU,,,,,,,,-110,,win,2026-07-14T05:05:43.749000+00:00,,,,2026-07-13
2026-07-13_MIN_PHX_WNBA_MINML,WNBA,,MIN ML,ML,,,,,,,,-405,,win,2026-07-14T05:04:15.278000+00:00,,,,2026-07-13
2026-07-13_MIN_PHX_SPREAD_PHX+3.5,WNBA,,PHX +3.5,SPREAD,,,,,,,,-115,,loss,2026-07-14T05:04:07.787000+00:00,,,,2026-07-13
2026-07-13_ATL_LA_OU_OVER180.5,WNBA,,OVER 180.5,OU,,,,,,,,-110,,win,2026-07-14T05:05:29.023000+00:00,,,,2026-07-13
2026-07-13_ATL_LA_SPREAD_ATL-6.5,WNBA,,ATL -6.5,SPREAD,,,,,,,,-115,,win,2026-07-14T05:03:43.947000+00:00,,,,2026-07-13
b3,NHL,,,OU,,,,,,,,,,loss,,,,,2026-07-13
a3,MLB,,,ML,,,,,,,,,,loss,,,,,2026-07-13
2026-07-12_SD_TOR_ML_SD,MLB,,SD,ML,,,,,,,,-143,,win,2026-07-12T23:34:12.721000+00:00,,,,2026-07-12
2026-07-12_LAD_ARI_OU_OVER7.5,MLB,,OVER 7.5,OU,,,,,,,,-110,,win,2026-07-12T23:34:17.853000+00:00,,,,2026-07-12
2026-07-12_SF_COL_OU_UNDER11.0,MLB,,UNDER 11.0,OU,,,,,,,,-110,,win,2026-07-12T23:34:24.097000+00:00,,,,2026-07-12
2026-07-12_SF_COL_ML_SF,MLB,,SF,ML,,,,,,,,-102,,win,2026-07-12T23:34:28.056000+00:00,,,,2026-07-12
2026-07-12_SD_TOR_OU_UNDER9.5,MLB,,UNDER 9.5,OU,,,,,,,,-110,,win,2026-07-12T23:34:05.380000+00:00,,,,2026-07-12
2026-07-12_MIA_CLE_SPREAD_CLE+1.5,MLB,,CLE +1.5,SPREAD,,,,,,,,-115,,win,2026-07-12T23:35:20.710000+00:00,,,,2026-07-12
2026-07-12_CIN_CHC_SPREAD_CIN+1.5,MLB,,CIN +1.5,SPREAD,,,,,,,,-115,,loss,2026-07-12T23:35:31.232000+00:00,,,,2026-07-12
2026-07-12_SD_TOR_SPREAD_TOR+1.5,MLB,,TOR +1.5,SPREAD,,,,,,,,-115,,win,2026-07-12T23:34:09.382000+00:00,,,,2026-07-12
2026-07-12_STL_ATL_OU_UNDER8.5,MLB,,UNDER 8.5,OU,,,,,,,,-110,,win,2026-07-12T23:34:50.049000+00:00,,,,2026-07-12
